,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.05683226585388183,0.015925259727241237,0.0009960174560546876,0.0003379833281155162,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",0.9473684210526315,0.868421052631579,1.0,0.9210526315789473,0.9736842105263158,0.9421052631578947,0.04527539614232961,1,0.9487179487179486,0.8693827160493828,1.0,0.9229461515576523,0.9743209876543211,0.943073560795861,0.04490953903759031,1
1,0.0014995574951171876,0.0018181055157724757,0.0006361007690429688,9.229022751194248e-05,0.1,liblinear,"{'C': 0.1, 'solver': 'liblinear'}",0.9473684210526315,0.8421052631578947,1.0,0.8947368421052632,0.9210526315789473,0.9210526315789472,0.05263157894736843,14,0.9487179487179486,0.8430769230769232,1.0,0.8974747474747474,0.9232467099783442,0.9225032658495926,0.052208192401808955,9
2,0.016559553146362305,0.0014124730976616032,0.0007314682006835938,3.3141726176583214e-05,0.1,newton-cg,"{'C': 0.1, 'solver': 'newton-cg'}",0.9473684210526315,0.868421052631579,1.0,0.9210526315789473,0.9736842105263158,0.9421052631578947,0.04527539614232961,1,0.9487179487179486,0.8693827160493828,1.0,0.9229461515576523,0.9743209876543211,0.943073560795861,0.04490953903759031,1
3,1.37871994972229,0.06962692415427515,0.0008327484130859375,2.5449617078594016e-05,0.1,sag,"{'C': 0.1, 'solver': 'sag'}",0.9473684210526315,0.8421052631578947,1.0,0.8947368421052632,0.9473684210526315,0.9263157894736842,0.05367388961676616,7,0.9487179487179486,0.8418803418803419,1.0,0.8974747474747474,0.9483643892339545,0.9272874854613985,0.053616769614534196,8
4,2.1997042179107664,0.09161261559017132,0.0008375644683837891,4.016005094645023e-05,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",0.9473684210526315,0.8421052631578947,1.0,0.8947368421052632,0.9473684210526315,0.9263157894736842,0.05367388961676616,7,0.9487179487179486,0.8430769230769232,1.0,0.8974747474747474,0.9483643892339545,0.9275268017007147,0.0532363451048484,7
5,0.11424875259399414,0.0494690681918028,0.0007693767547607422,1.128201150119611e-05,1,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",0.9473684210526315,0.8421052631578947,1.0,0.9210526315789473,0.9473684210526315,0.9315789473684211,0.05156820511122481,3,0.9487179487179486,0.8418803418803419,1.0,0.9218808777429467,0.9476923076923077,0.932034295206709,0.05171785352099843,3
6,0.0006598472595214844,3.466727478968132e-05,0.0005595684051513672,9.9646416928086e-06,1,liblinear,"{'C': 1, 'solver': 'liblinear'}",0.9210526315789473,0.8421052631578947,1.0,0.8947368421052632,0.9473684210526315,0.9210526315789475,0.05263157894736843,9,0.9228291836987489,0.8418803418803419,1.0,0.8974747474747474,0.9483643892339545,0.9221097324575585,0.05253637975320116,10
7,0.021961259841918945,0.0018524055523809796,0.0006630897521972656,3.265460795466917e-05,1,newton-cg,"{'C': 1, 'solver': 'newton-cg'}",0.9473684210526315,0.8421052631578947,1.0,0.9210526315789473,0.9473684210526315,0.9315789473684211,0.05156820511122481,3,0.9487179487179486,0.8418803418803419,1.0,0.9218808777429467,0.9476923076923077,0.932034295206709,0.05171785352099843,3
8,3.64806489944458,0.18932754442958485,0.0008991241455078125,0.00014982473916450698,1,sag,"{'C': 1, 'solver': 'sag'}",0.9210526315789473,0.8421052631578947,1.0,0.8947368421052632,0.9473684210526315,0.9210526315789475,0.05263157894736843,9,0.9228291836987489,0.8418803418803419,1.0,0.8974747474747474,0.9483643892339545,0.9221097324575585,0.05253637975320116,10
9,4.834817790985108,0.2618519822826393,0.0009053707122802735,1.1500181392409006e-05,1,saga,"{'C': 1, 'solver': 'saga'}",0.9210526315789473,0.8421052631578947,1.0,0.8947368421052632,0.9473684210526315,0.9210526315789475,0.05263157894736843,9,0.9228291836987489,0.8418803418803419,1.0,0.8974747474747474,0.9483643892339545,0.9221097324575585,0.05253637975320116,10
10,0.14824285507202148,0.028069740826441772,0.0007825374603271484,2.0490908325901272e-05,10,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",0.9473684210526315,0.8421052631578947,1.0,0.9210526315789473,0.9473684210526315,0.9315789473684211,0.05156820511122481,3,0.9487179487179486,0.8418803418803419,1.0,0.9218808777429467,0.9476923076923077,0.932034295206709,0.05171785352099843,3
11,0.0007825851440429688,7.9301417123715e-05,0.0005569934844970703,1.1892666693080575e-05,10,liblinear,"{'C': 10, 'solver': 'liblinear'}",0.9210526315789473,0.8421052631578947,0.9736842105263158,0.8947368421052632,0.9473684210526315,0.9157894736842106,0.04527539614232963,15,0.9228291836987489,0.8418803418803419,0.9743209876543211,0.8974747474747474,0.9483643892339545,0.9169739299884228,0.04544798135064146,15
12,0.025745201110839843,0.0013113074337247365,0.0006627559661865235,5.182353458786695e-05,10,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",0.9473684210526315,0.8421052631578947,1.0,0.9210526315789473,0.9473684210526315,0.9315789473684211,0.05156820511122481,3,0.9487179487179486,0.8418803418803419,1.0,0.9218808777429467,0.9476923076923077,0.932034295206709,0.05171785352099843,3
